OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: G7-G6; OM: D2-C4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: G7-F7; OM: G1-G2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: G7-H7; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: B8-B7; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: B8-C8; OM: F4-G4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: C8-C7; OM: D1-E1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: C8-B8; OM: E1-E2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: C8-D8; OM: D2-E4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: D8-D7; OM: E2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: D8-C8; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: D8-E8; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: E8-E7; OM: B2-B3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: E8-D8; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: E8-F8; OM: G1-G2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: F8-F7; OM: D1-E1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: F8-E8; OM: D2-E4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: F8-G8; OM: B2-B3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: G8-G7; OM: B2-A2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: B6-C6; OM: C2-D2; EM: G8-F8; OM: D2-C4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: B6-B5; OM: D1-C1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: B6-A6; OM: B2-B3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: B6-C6; OM: F5-F6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: C6-C5; OM: F5-F6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: C6-B6; OM: C2-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: C6-D6; OM: F5-F6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: D7-D6; OM: B1-C1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: D7-C7; OM: F5-F6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: D7-E7; OM: G1-G2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: E7-E6; OM: G1-G2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: E7-D7; OM: D2-E2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: E7-F7; OM: C1-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: F7-F6; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: F7-E7; OM: E1-F1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: F7-G7; OM: B2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: G7-G6; OM: F5-G6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: G7-F7; OM: C1-B1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: G7-H7; OM: F5-F6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: B8-B7; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: B8-C8; OM: F1-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: C8-C7; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: C8-B8; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: C8-D8; OM: E1-E2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: D8-D7; OM: D2-D3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: D8-C8; OM: G1-G2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: D8-E8; OM: B1-C1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: E8-E7; OM: D2-D3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: E8-D8; OM: C1-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: E8-F8; OM: E2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: F8-F7; OM: C2-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: F8-E8; OM: C2-C3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: F8-G8; OM: C2-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: G8-G7; OM: F5-F6;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-C6; OM: F4-F5; EM: G8-F8; OM: G1-G2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B6-B5; OM: F1-E1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B6-A6; OM: G2-F4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B6-C6; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B7-B6; OM: E2-E3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B7-A7; OM: C1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B7-C7; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: D7-D6; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: D7-C7; OM: G2-F4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: D7-E7; OM: E2-E3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: E7-E6; OM: E2-E3;
