b0b0b0b0b0b0/1b0b0b0b0b0b01/8/8/8/8/1r0r0r0r0r0r01/r0r0r0r0r0r0, D8-D7
1b01b0b0b0/1bbb0b0b0b0b01/3b04/8/8/7r0/1r0r0rrr0r0r01/r0r01r01r0, C8-C7
1b01b0b0b0/1bbb0bbb0b01b0/8/8/4r03/3r04/1r0r01r0r0r01/r0r01r0r0r0, E8-E7
1bb1b0b0b0/1bbb0b0b01bb1/8/8/8/8/1rrr0rrr0r0rr1/1r01r0r01, D7-C5
1bb2b0b0/1bbb0b0bbb0b01/8/8/4r03/8/1rrr0r0r0r0r01/1r01r0r0r0, F7-F6
2bb1b0b0/1bbbbb0b0b0b01/8/8/2r05/8/1r0rrr0r0r0r01/r02r0r0r0, E7-F7
1bb1b0b0b0/1bbb01bbb0b01/8/8/8/8/1r0r0rrrr1r01/r0r0r01r0r0, B7-B6
2bb1bbb0/1bbb0b0b0b0b01/8/8/4r03/8/1r0rrr0r0r0r01/r02r0r0r0, C7-B5
1bb1b0b01/1bbb0b0b0b0bb1/8/8/3r04/8/1r0r0rrr01r01/r0r01r0r0r0, G8-G7
1bb2bbb0/1bbb0b0b0b0b01/8/8/8/8/1r0rrrrrr1r01/r02r0r0r0, E7-D5
1bb1b0b0b0/1bbb0b0b0b02/6b01/4r03/8/8/1r0r0r0r0r0r01/r0r01r0r0r0, E4-E3
1bb1b0b0b0/1bbb0b0b01b01/5b02/8/4r03/8/1r0r0r0r0r0rr1/r0r01r0r01, E7-E6
1bb1bb1b0/1bbb0b0b0b0b01/8/8/2r05/8/1r0r0r0r0rrr01/r0r01r01r0, G8-G7
1b01bbb0b0/1bbb0bb1b0b01/8/8/4r03/8/1r0r0r0r0r0r01/1rr1r0r0r0, D7-D6
1bb1b0b0b0/1bbb0b0b0bb2/8/8/8/8/1r0r0rrr01rr1/r0r01r01rr, C7-B7
1b01bbb0b0/1b0bbb0b0b0b01/8/8/4r03/8/1r0r0r0r0rrr01/r0r01r01r0, F7-E5
1bb1b0b0b0/1b0b0b0b0b0b01/1b06/8/8/8/1r0r0rrrrrr2/r0r02r0r0, E7-F5
1bb1b0b0b0/1bb1bbb0b0b01/8/8/5r02/8/1r0r0rrr01r01/r0r01r0r0r0, G8-G7
1bb1b0b0b0/1bbb01b0b0b01/3b04/8/8/8/1r0rrrrrrr0r01/r03r0r0, E7-F5
1bb2b0b0/1bbb0b0bbb0b01/8/8/8/7r0/1r0r0rrr0r0r01/r0r01r01r0, D7-E5
1bb1b0b0b0/1bbb0b0bb1b01/8/8/8/5r0r01/1r0r0rrr03/r0r01r0r0r0, F6-G6
2bb1b0b0/1bbbbb0b0b0b01/8/8/3r04/8/1r0r0rrr0r0r01/r02r0r0r0, B8-B7
1bb1b0b0b0/1bbb0b0b0b01b0/8/8/4r03/3r04/1r0r01r0r0r01/r0r01r0r0r0, E8-E7
1b01bbb0b0/1bbb0b0b01bb1/8/8/8/8/1rrr0rrr0r0rr1/1r01r0r01, D7-C5
1b01b0b0b0/1bbb0b0bbb0b01/8/8/4r03/8/1rrr0r0r0r0r01/1r01r0r0r0, B7-A5
2b01bbb0/1bbbbb0b0b0b01/8/8/2r05/8/1r0rrr0r0r0r01/r02r0r0r0, B8-B7
2bbb01b0/1bbb0b0b0bbb01/8/8/4r03/8/1r0rrr0r0r0r01/r02r0r0r0, E8-E7
1b01b0bbb0/1bbb0b0b0b0b01/8/8/8/8/1r0rrrrrr1r01/r02r0r0r0, B7-B6
1b01bbb0b0/1bbb01bbb0b01/8/8/8/8/1r0r0rrrr1r01/r0r0r01r0r0, G8-G7
1b01bbb0b0/1bbb0b0b01b01/5b02/8/4r03/8/1r0r0r0r0r0rr1/r0r01r0r01, B7-C7
1b0b0b01b0/1bbbbb0b0b0b01/8/8/2r05/8/1r0r0r0r0rrr01/r0r01r01r0, C7-B7
1b0b01b0b0/1bbb0bbb0b0b01/8/8/4r03/8/1r0r0r0r0r0r01/1rr1r0r0r0, D7-D6
1b01bbb0b0/1bbb0b0b0b02/6b01/4r03/8/8/1r0r0r0r0r0r01/r0r01r0r0r0, E4-E3
1b01bbb01/1bbb0b0b0b0bb1/8/8/3r04/8/1r0r0rrr01r01/r0r01r0r0r0, D7-E5
1b01bbb0b0/1b0b0b0b0b0b01/1b06/8/8/8/1r0r0rrrrrr2/r0r02r0r0, D7-E5
1b01bbb0b0/1bbb01b0b0b01/3b04/8/8/8/1r0rrrrrrr0r01/r03r0r0, D7-E5
1bb1bbb0b0/1bb1b0b0b0b01/8/8/5r02/8/1r0r0rrr01r01/r0r01r0r0r0, D7-C5
1b0b01b0b0/1b0bbb0bbb0b01/8/8/4r03/8/1r0r0r0r0rrr01/r0r01r01r0, F7-E5
1bbb01b0b0/1bbb0b0b0b0b01/8/8/8/7r0/1r0r0rrr0r0r01/r0r01r01r0, G8-G7
1b01bbb0b0/1bbb0b0bb1b01/8/8/8/5r0r01/1r0r0rrr03/r0r01r0r0r0, C8-B8
2b01bbb0/1bbbbb0b0b0b01/8/8/3r04/8/1r0r0rrr0r0r01/r02r0r0r0, D7-C5
1b01bbb0b0/1bbb0b0b0bb2/8/8/8/8/1r0r0rrr01rr1/r0r01r01rr, E8-E7
1b01bbb0b0/1bbb0b0b0b01b0/8/8/4r03/3r04/1r0r01r0r0r01/r0r01r0r0r0, B8-B7
1b0b01b0b0/1bbb0b0bb1bb1/8/8/8/8/1rrr0rrr0r0rr1/1r01r0r01, C8-C7
2b0b01b0/1bbbbb0b0bbb01/8/8/2r05/8/1r0rrr0r0r0r01/r02r0r0r0, C7-D5
2bbbb1b0/1bbb0b0b0b0b01/8/8/4r03/8/1r0rrr0r0r0r01/r02r0r0r0, D7-E7
1b0b02b0/1bbb0b0bbbbb01/8/8/4r03/8/1rrr0r0r0r0r01/1r01r0r0r0, E8-E7
1b0bb1b0b0/1bbb01bbb0b01/8/8/8/8/1r0r0rrrr1r01/r0r0r01r0r0, C8-C7
1b0b01b0b0/1bbb0b0bb1b01/5b02/8/4r03/8/1r0r0r0r0r0rr1/r0r01r0r01, F7-F6
1b0b01b0b0/1bbb0bbb0b0b01/8/8/8/8/1r0rrrrrr1r01/r02r0r0r0, E7-D5
1b0b01b0b0/1bbb0b0bbb02/6b01/4r03/8/8/1r0r0r0r0r0r01/r0r01r0r0r0, E4-E3
1b0bb1b0b0/1bbb0bb1b0b01/8/8/4r03/8/1r0r0r0r0r0r01/1rr1r0r0r0, B7-C7
1b0b01b01/1bbb0b0bbb0bb1/8/8/3r04/8/1r0r0rrr01r01/r0r01r0r0r0, D5-D4
1b0b0b01b0/1bbb0b0b0b0bb1/8/8/2r05/8/1r0r0r0r0rrr01/r0r01r01r0, E8-E7
1b0b01b0b0/1bbb01bbb0b01/3b04/8/8/8/1r0rrrrrrr0r01/r03r0r0, B8-B7
1b0bb1b0b0/1b0bbb0b0b0b01/8/8/4r03/8/1r0r0r0r0rrr01/r0r01r01r0, E8-E7
1b0b01b0b0/1b0b0b0bbb0b01/1b06/8/8/8/1r0r0rrrrrr2/r0r02r0r0, F7-E5
1bbb01b0b0/1bb1b0bbb0b01/8/8/5r02/8/1r0r0rrr01r01/r0r01r0r0r0, G8-G7
1bb2bbb0/1bbb0b0b0b0b01/8/8/8/7r0/1r0r0rrr0r0r01/r0r01r01r0, D7-C5
2b0b01b0/1bbbbb0b0bbb01/8/8/3r04/8/1r0r0rrr0r0r01/r02r0r0r0, E8-E7
1b0bb1b0b0/1bbb0b0bb1b01/8/8/8/5r0r01/1r0r0rrr03/r0r01r0r0r0, E8-E7
1b0b01b0b0/1bbb0b0bbb01b0/8/8/4r03/3r04/1r0r01r0r0r01/r0r01r0r0r0, E5-E4
1b0b01b0b0/1bbb0b0bbbb2/8/8/8/8/1r0r0rrr01rr1/r0r01r01rr, C8-C7
2b0bb1b0/1bbbbb0b0b0b01/8/8/2r05/8/1r0rrr0r0r0r01/r02r0r0r0, B8-B7
1b0bb1b0b0/1bbb0b0b01bb1/8/8/8/8/1rrr0rrr0r0rr1/1r01r0r01, B7-D6
2bbb01bb/1bbb0b0b0b0b01/8/8/4r03/8/1r0rrr0r0r0r01/r02r0r0r0, E5-E4
1b0b0b01b0/1bbb0b0bbb0b01/8/8/4r03/8/1rrr0r0r0r0r01/1r01r0r0r0, G8-F8
1b0b01b0b0/1bbb0b0b0b0b0b0/8/8/8/8/1r0rrrrrr1r01/r02r0r0r0, B8-B7
1b0bb1b0b0/1bbb0b0b01b01/5b02/8/4r03/8/1r0r0r0r0r0rr1/r0r01r0r01, D7-C7
1b0bb1b0b0/1bbb0b0b0b02/6b01/4r03/8/8/1r0r0r0r0r0r01/r0r01r0r0r0, E4-E3
1b0b01bbb0/1bbb0bb1b0b01/8/8/4r03/8/1r0r0r0r0r0r01/1rr1r0r0r0, E8-E7
1b0b01bbb0/1bbb01bbb0b01/8/8/8/8/1r0r0rrrr1r01/r0r0r01r0r0, C8-D8
1b0bb1b0b0/1bbb01b0b0b01/3b04/8/8/8/1r0rrrrrrr0r01/r03r0r0, E7-F5
1b0b01bbb0/1b0bbb0b0b0b01/8/8/4r03/8/1r0r0r0r0rrr01/r0r01r01r0, F7-E5
1b0bb1b0b0/1b0b0b0b0b0b01/1b06/8/8/8/1r0r0rrrrrr2/r0r02r0r0, C8-C7
1bbbb1b0b0/1bb1b0b0b0b01/8/8/5r02/8/1r0r0rrr01r01/r0r01r0r0r0, D7-E5
1b0bb1b01/1bbb0b0b0b0bb1/8/8/3r04/8/1r0r0rrr01r01/r0r01r0r0r0, D7-C5
2b0bb1b0/1bbbbb0b0b0b01/8/8/3r04/8/1r0r0rrr0r0r01/r02r0r0r0, C7-B7
1b0b01bbb0/1bbb0b0bb1b01/8/8/8/5r0r01/1r0r0rrr03/r0r01r0r0r0, E8-E7
1b0b0b01b0/1bbb0b0b0b0b01/3b04/8/2r05/8/1r0r0r0r0rrr01/r0r01r01r0, C7-B7
1b0bb1b0b0/1bbb0b0b0b01b0/8/8/4r03/3r04/1r0r01r0r0r01/r0r01r0r0r0, G7-F7
1b0bb1b0b0/1bbb0b0b0bb2/8/8/8/8/1r0r0rrr01rr1/r0r01r01rr, C7-C6
1bb1b01b0/1bbb0b0b0bbb01/8/8/8/7r0/1r0r0rrr0r0r01/r0r01r01r0, G8-G7
2b0b01bb/1bbbbb0b0b0b01/8/8/2r05/8/1r0rrr0r0r0r01/r02r0r0r0, F8-F7
1b0b01bbb0/1bbb0b0b01bb1/8/8/8/8/1rrr0rrr0r0rr1/1r01r0r01, D7-E5
2bbb0b01/1bbb0b0b0b0bb1/8/8/4r03/8/1r0rrr0r0r0r01/r02r0r0r0, E8-E7
1b0b02bb/1bbb0b0bbb0b01/8/8/4r03/8/1rrr0r0r0r0r01/1r01r0r0r0, C8-C7
1b0b01b0b0/1bbb0b0b0b0b01/4b03/8/8/8/1r0rrrrrr1r01/r02r0r0r0, C7-D5
1b0b01bbb0/1bbb0b0b01b01/5b02/8/4r03/8/1r0r0r0r0r0rr1/r0r01r0r01, C8-C7
1b0b01bbb0/1bbb0b0b0b02/6b01/4r03/8/8/1r0r0r0r0r0r01/r0r01r0r0r0, B7-C7
1b0b0b01b0/1bbb0bb1bbb01/8/8/4r03/8/1r0r0r0r0r0r01/1rr1r0r0r0, E5-E4
1b0b01bbb0/1bbb01b0b0b01/3b04/8/8/8/1r0rrrrrrr0r01/r03r0r0, C7-D5
1b0b0b01b0/1b0bbb0b0bbb01/8/8/4r03/8/1r0r0r0r0rrr01/r0r01r01r0, G8-G7
1bbb01bbb0/1bb1b0b0b0b01/8/8/5r02/8/1r0r0rrr01r01/r0r01r0r0r0, C8-C7
1b0b0b01b0/1bbb01bbbbb01/8/8/8/8/1r0r0rrrr1r01/r0r0r01r0r0, D7-C5
2b0b01bb/1bbbbb0b0b0b01/8/8/3r04/8/1r0r0rrr0r0r01/r02r0r0r0, B8-B7
1b0b01bb1/1bbb0b0b0b0bb1/8/8/3r04/8/1r0r0rrr01r01/r0r01r0r0r0, D5-D4
1b0b01bbb0/1b0b0b0b0b0b01/1b06/8/8/8/1r0r0rrrrrr2/r0r02r0r0, F7-G5
1b0b0b01b0/1bbb0b0bbb0b01/8/8/8/5r0r01/1r0r0rrr03/r0r01r0r0r0, B8-B7
1b0b01bbb0/1bbb0b0b0b01b0/8/8/4r03/3r04/1r0r01r0r0r01/r0r01r0r0r0, E5-E4
1bb1bb1b0/1bbb0b0b0b0b01/8/8/8/7r0/1r0r0rrr0r0r01/r0r01r01r0, G8-G7
1b0b0b01b0/1bbb0b0b0b0b01/5b02/8/2r05/8/1r0r0r0r0rrr01/r0r01r01r0, B8-B7
